title,authors,published,pdf,summary_generated
Lumos-Nexus: Efficient Frequency Bridging with Homogeneous Latent Space for Video Unified Models,"Jiazheng Xing, Hangjie Yuan, Lingling Cai, Xinyu Liu, Yujie Wei, Fei Du, Hai Ci, Tao Feng, Jiasheng Tang, Weihua Chen, Fan Wang, Yong Liu",2026-05-29 17:59:50+00:00,https://arxiv.org/pdf/2605.31603v1," Connector-based video unified models have demonstrated strong capability in instruction-grounded video synthesis . We propose Lumos-Nexus, a training-efficient unified video generation framework that facilitates the development of strong reasoning-driven generation capabilities while enhancing visual fidelity ."
Stateful Online Monitoring Catches Distributed Agent Attacks,"Davis Brown, Samarth Bhargav, Arav Santhanam, Kasper Hong, Ivan Zhang, Matan Shtepel, Steffi Chern, Alexander Robey, Eric Wong, Hamed Hassani",2026-05-29 17:57:00+00:00,https://arxiv.org/pdf/2605.31593v1," Language models can find thousands of severe software vulnerabilities, and agents are increasingly being misused for cyberattacks . To avoid detection, attackers frequently distribute their misuse, splitting a harmful task across many user accounts . Safety monitors score only one agent context at a time, they are structurally blind to misuse ."
TunerDiT: Training-free Progressive Steering of Diffusion Transformer for Multi-Event Video Generation,"Ruotong Liao, Guowen Huang, Qing Cheng, Guangyao Zhai, Lei Zhang, Xun Xiao, Thomas Seidl, Daniel Cremers, Volker Tresp",2026-05-29 17:56:09+00:00,https://arxiv.org/pdf/2605.31590v1, Text-to-video (T2V) generation faces challenging questions when generating videos with long horizons containing multiple events . TunerDiT comprises two steering handles: (1) Event-Partitioned Masking that enforces event boundaries while allowing cross-event transition bands . Cross-Event Prompt Fusion that injects neighboring event semantics for late-stage refinement .
"Language Models Learn Constructional Semantics, Not To Mention Syntax: Investigating LM Understanding of Paired-Focus Constructions","Wesley Scivetti, Ethan Wilcox, Nathan Schneider, Kanishka Misra, Leonie Weissweiler",2026-05-29 17:54:00+00:00,https://arxiv.org/pdf/2605.31586v1," Grasping the semantics of rare constructions (form-meaning pairings) has been shown to be a challenging problem that has currently only been solved by the largest LLMs . It remains an open question if open-source models have robust constructional understanding, and if so, what learning dynamics underlie the acquisition of this knowledge ."
LongTraceRL: Learning Long-Context Reasoning from Search Agent Trajectories with Rubric Rewards,"Nianyi Lin, Jiajie Zhang, Lei Hou, Juanzi Li",2026-05-29 17:51:40+00:00,https://arxiv.org/pdf/2605.31584v1," Long-context reasoning remains a central challenge for large language models . Reinforcement learning with verifiable rewards (RLVR) has shown promise for this task . Existing methods are limited by low-confusability distractors and sparse, outcome-only reward signals that cannot supervise intermediate reasoning steps ."
Choosing the Lens: Strategic Perspective Activation in Context-Dependent Argumentation,"Albert Sadowski, Jarosław A. Chudziak",2026-05-29 17:50:11+00:00,https://arxiv.org/pdf/2605.31581v1," An agent with influence over the regime has a strategic lever that standard formalisms do not directly capture . We introduce context-dependent argumentation frameworks (CDAFs) in which a defeat function determines, per context, which attacks succeed ."
SPECTRA: Synthetic IR Test Collections with Relevance Oracles and Controlled Distractor Diagnostics,Eric Liang,2026-05-29 17:44:15+00:00,https://arxiv.org/pdf/2605.31575v1," Scalable information retrieval testing needs corpora that are large enough to stress index construction, ranking latency, query routing, and evaluation tooling . Human-judged test collections remain expensive and may be unavailable when documents are private or still under design . SPECTRA is a reproducible framework for generating synthetic text corpora and retrieval test collections ."
What Gets Unmasked First? Trajectory Analysis of Diffusion Models for Graph-to-Text Generation,"Qing Wang, Jacob Devasier, Chengkai Li",2026-05-29 17:29:35+00:00,https://arxiv.org/pdf/2605.31564v1," We present the first systematic study of masked diffusion language models (MDLMs) for graph-to-text generation . We analyze MDLM generation trajectories -- the order in which tokens are unmasked during decoding . MDLMs naturally prioritize entities first, followed by relational and function words, with structural tokens resolved last ."
"Positional versus Symbolic Attention Heads: Learning Dynamics, RoPE Geometry, and Length Generalization","Felipe Urrutia, Juan José Alegría, Cinthia Sanchez Macias, Jorge Salas, Cristian B. Calderon, Cristobal Rojas",2026-05-29 17:22:04+00:00,https://arxiv.org/pdf/2605.31558v1," Transformer-based language models are widespread in society . Understanding the mechanisms by which they solve structured tasks is of great importance for safe deployment . Successful learning is associated with emergence of pure heads, i.e., heads that express themselves as either positional or symbolic ."
Vision-Language Models Suppress Female Representations Under Ambiguous Input,"Arnau Marin-Llobet, Simon Henniger, Mahzarin R. Banaji",2026-05-29 17:20:02+00:00,https://arxiv.org/pdf/2605.31556v1," Alignment teaches vision-language models (VLMs) to avoid expressing demographic biases . But when gender is clearly visible, they largely succeed . We introduce LALS (Latent Association Leaning Score), a zero-shot metric that projects visual-token activations into the model's text-embedding space ."
Microwave Linear Analog Computer (MiLAC) for Simultaneous Active and Passive Beamforming,"Matteo Nerini, Bruno Clerckx",2026-05-29 17:08:33+00:00,https://arxiv.org/pdf/2605.31549v1, Microwave linear analog computers (MiLACs) have recently emerged to enable high-performance and efficient beamforming in the analog domain . This allows the MiLAC to execute beamforming for transmission/reception while reflecting external incident signals .
RayDer: Scalable Self-Supervised Novel View Synthesis from Real-World Video,"Ulrich Prestel, Stefan Andreas Baumann, Nick Stracke, Björn Ommer",2026-05-29 16:50:27+00:00,https://arxiv.org/pdf/2605.31535v1," Self-supervised novel view synthesis (NVS) remains challenging to scale, despite the abundance of video data . We introduce RayDer, a unified, feed-forward transformer that consolidates camera estimation, scene reconstruction, and rendering into a single backbone ."
Feature-Optimized Vision for Adaptive 3D Scene Reconstruction,Eric Liang,2026-05-29 16:49:27+00:00,https://arxiv.org/pdf/2605.31534v1," Three-dimensional scene reconstruction depends on local image evidence that is both visually discriminative and geometrically useful . Fixed feature thresholds and uniform feature budgets are easy to deploy, but they can waste computation on repeated texture, low-parallax regions, or unstable points ."
SVI-Bench: A Dynamic Microworld for Strategic Video Intelligence,"Yulu Pan, Han Yi, Seongsu Ha, Md Mohaiminul Islam, Benjamin Zhang, Lorenzo Torresani, Gedas Bertasius",2026-05-29 16:43:06+00:00,https://arxiv.org/pdf/2605.31529v1, In-the-wild videos lack verifiable ground truth for causal and strategic questions . Synthetic environments sacrifice complexity of real multi-agent systems . SVI-Bench is a large-scale benchmark that leverages team sports as a dynamic microworld .
Distributionally Robust Physical-Layer Security for Satellite Communication via Aerial Reconfigurable Intelligent Surface,"Zhaole Wang, Xiao Tang, Naijin Liu, Jinxin Liu, Qinghe Du, Lei Chen, Tingwu Lin",2026-05-29 16:40:02+00:00,https://arxiv.org/pdf/2605.31526v1," Satellite communications are envisioned as a key enabler for ubiquitous coverage in future 6G networks . Yet broadcast nature renders them vulnerable to eavesdropping, especially given the long-distance transmissions and associated high uncertainties . We propose the physical layer security enhancement for multi-beam satellite communications ."
Separating Secrets from Placeholders: A Hybrid CNN-CodeBERT Framework for Three-Class Credential Leakage Detection,"Maksuda Bilkis Baby, Khushika Shah, Naiyue Liang, Lei Zhang",2026-05-29 16:36:20+00:00,https://arxiv.org/pdf/2605.31520v1," Credential leakage in public source code repositories poses a critical security threat, with over 23.8 million secrets exposed in 2024 alone . Existing detection tools suffer from high false-positive rates because they fail to distinguish genuine credentials from placeholder or weak credentials ."
"If LLMs Have Human-Like Attributes, Then So Does Age of Empires II",Adrian de Wynter,2026-05-29 16:31:31+00:00,https://arxiv.org/pdf/2605.31514v1," Much research has been carried out on large language models (LLMs) and LLM-powered agentic workflows . We build and train a simple neural network on the videogame Age of Empires II . We note that any entity in a sufficiently-powerful substrate, such as LEGO or the Greater Boston Area, could also present such attributes ."
Skill Reuse as Compression in Agentic RL,"Zhikun Xu, Yu Feng, Jacob Dineen, Taiwei Shi, Jieyu Zhao, Ben Zhou",2026-05-29 16:28:34+00:00,https://arxiv.org/pdf/2605.31509v1," Large language model agents trained with reinforcement learning often learn brittle, task-specific shortcuts . We hypothesize that agents generalize better when their successful trajectories are structurally compressible . We introduce ReuseRL, which grounds agentic RL in the Minimum Description Length (MDL) principle ."
On Efficient Scaling of GNNs via IO-Aware Layers Implementations,"Daria Fomina, Daniil Krasylnikov, Alexey Boykov, Andrey Dolgovyazov, Vyacheslav Zhdanovskiy, Fedor Velikonivtsev",2026-05-29 16:22:45+00:00,https://arxiv.org/pdf/2605.31500v1," Graph Neural Networks (GNNs) bottlenecked by sparse, irregular memory access . Complex layers often materialize edge-wise intermediates, increasing memory traffic and limiting scalability on large graphs . We develop GPU kernels that reduce data movement, improve locality, and remain robust across realistic graphs ."
General-purpose LLMs as Constrained Crystal Composition Generators,"Hedda Oschinski, Maximilian L. Ach, Konstantin S. Jakob, Christian Carbogno, Karsten Reuter",2026-05-29 16:16:30+00:00,https://arxiv.org/pdf/2605.31495v1," The targeted discovery of inorganic materials remains challenging due to the vastness of compositional design spaces and the high cost of exhaustive screening . Task-specific generative artificial intelligence represents a particularly efficient alternative to screening, yet demands tedious collection of training data before providing real benefit ."
LinTree: Improving LLM Reasoning with Explicitly Structured Search Histories,"Liwei Kang, Yee Whye Teh, Wee Sun Lee",2026-05-29 16:13:19+00:00,https://arxiv.org/pdf/2605.31492v1," Large language models (LLMs) often solve reasoning problems by exploring and revise partial solutions . From a search perspective, these traces can be viewed as linearized search trees, where the model extends a partial solution, abandons it when it fails, and backtracks to try alternatives . Compared with traditional heuristic-guided search, such a policy has a potential advantage: it conditions on the whole search trace ."
Scaling Conversational Hungarian ASR: The BEA-Dialogue+ Corpus,"Máté Gedeon, Piroska Zsófia Barta, Péter Mihajlik, Katalin Mády",2026-05-29 16:01:25+00:00,https://arxiv.org/pdf/2605.31469v1," Conversational automatic speech recognition in Hungarian is constrained by the limited amount of publicly available dialogue-style training data . The BEA-Dialogue corpus addresses this need, but its strictly speaker-disjoint train/dev/eval split reduces the usable material to only 85 hours . In this paper, we introduce an expanded version of the corpus that relaxes the split criterion ."
AutoSci: A Memory-Centric Agentic System for the Full Scientific Research Lifecycle,"Weitong Qian, Beicheng Xu, Zhongao Xie, Bowen Fan, Guozheng Tang, Jiale Chen, Xinzhe Wu, Mingtian Yang, Chenyang Di, Jiajun Li, Lingching Tung, Peichao Lai, Yifei Xia, Ziyi Guo, Yanwei Xu, Yanzhao Qin, Shaoduo Gan, Xupeng Miao, Bin Cui",2026-05-29 16:00:04+00:00,https://arxiv.org/pdf/2605.31468v1, AutoSci is a memory-centric agentic system for the full scientific research lifecycle . SciMem provides schematics-governed research memory .
GPU Forecasters: Language Models as Selective Surrogates for Kernel Runtime Optimization,"Zaid Khan, Justin Chih-Yao Chen, Jaemin Cho, Elias Stengel-Eskin, Mohit Bansal",2026-05-29 15:56:08+00:00,https://arxiv.org/pdf/2605.31464v1," GPU kernels are the workhorse of modern deep learning, and optimizing them (via evolutionary search or coding agents) usually requires repeated measurement on target hardware . While these measurements provide the ground-truth signal necessary for kernel search, they are costly . Each evaluation of a kernel requires compilation and repeated execution on a GPU ."
PithTrain: A Compact and Agent-Native MoE Training System,"Ruihang Lai, Hao Kang, Haozhan Tang, Akaash R. Parthasarathy, Zichun Yu, Junru Shao, Todd C. Mowry, Chenyan Xiong, Tianqi Chen",2026-05-29 15:52:58+00:00,https://arxiv.org/pdf/2605.31463v1," Mixture-of-Experts (MoE) has become the dominant architecture for frontier language models . We name this missing dimension agent-task efficiency (ATE) as the cost of using coding agents to understand, operate, and extend a framework . Grounded in four agent-native design principles, we build PithTrain ."
Fine-grained Verification via Diagnostic Reasoning Supervision for Aspect Sentiment Triplet Extraction,"Wenna Lai, Haoran Xie, Guandong Xu, Qing Li, S. Joe Qin",2026-05-29 15:40:58+00:00,https://arxiv.org/pdf/2605.31446v1," Aspect Sentiment Triplet Extraction (ASTE) aims to identify aspect terms, opinion terms, and sentiment polarities as structured triplets . It provides essential inputs for downstream information system applications such as opinion mining, explainable recommendations, and review summarization ."
Used Car Salesbots? Honesty and Credulity of LLMs as Bargaining Agents under Partial Information,"Antonio Valerio Miceli-Barone, Vaishak Belle, Shay B. Cohen",2026-05-29 15:40:29+00:00,https://arxiv.org/pdf/2605.31445v1, In this work we study agents in simulated bargaining scenarios . We evaluate their performance w.r.t. game-theoretical solutions . We further investigate their honesty (their tendency to disclose or withhold information or to mislead and deceive) as well as their credulity .
Answer-Set-Programming-based Abstractions for Reinforcement Learning,"Rafael Bankosegger, Thomas Eiter, Johannes Oetsch",2026-05-29 15:40:10+00:00,https://arxiv.org/pdf/2605.31444v1," CARCASS framework by Martijn van Otterlo demonstrates how logical representations can model Markov Decision Processes (MDPs) in first-order domains . We explore Answer-Set Programming (ASP), which is a rich and, contrary to Prolog, fully declarative modelling language, to realise CARCass abstractions ."
DOA: Training-Free Decoder-Only Attention Policy for Long-Form Simultaneous Translation with SpeechLLMs,"Sara Papi, Luisa Bentivogli",2026-05-29 15:27:26+00:00,https://arxiv.org/pdf/2605.31432v1," Simultaneous speech-to-text translation (SimulST) generates translations while speech is still unfolding, requiring a streaming policy that decides when to read and when to write . State-of-the-art approaches rely on attention-based encoder-decoder models where cross-attention provides explicit alignment signals . Speech Large Language Models (SpeechLLMs) are decoder-only architectures relying solely on self attention ."
Neuro-symbolic Syntactic Parsing: Shaping a Neural Network with the CYK Algorithm,"Fabio Massimo Zanzotto, Federico Ranaldi, Giorgio Satta",2026-05-29 15:21:11+00:00,https://arxiv.org/pdf/2605.31421v1," In this paper, we show the possibility of a direct injection of algorithms into neural network architecture . We focus on a complex algorithm that is, Cocke-Youger-Kasami (CYK) for parsing context-free grammars in Chomsky Normal Form . We propose CYKNN, a simple recurrent network architecture for encoding the CYK algorithm in trainable matrix-vector multiplications ."
FAM-Bench: A Multimodal Benchmark for Condition-Aware Food-as-Medicine Reasoning,"Mingyang Mao, Bhargav Rishi Medisetti, Utkarsh Grover, Tanvir Ibrahim, Wenyan Li, Tingting Zhang, Xiaomin Lin",2026-05-29 15:13:53+00:00,https://arxiv.org/pdf/2605.31410v1, Food-as-Medicine requires models to reason beyond what a dish is or what nutrition it contains . They must decide whether a concrete food choice is appropriate for a specific health condition . FAM-Bench has 2500 nutrition-expert-verified instances across 13 diet-related health conditions .
Skill Availability and Presentation Granularity in Large-Language-Model Agents: A Controlled SkillsBench Study,"Xiaonan Xu, Wenjing Wu",2026-05-29 15:12:24+00:00,https://arxiv.org/pdf/2605.31408v1, Skill documents provide procedural knowledge to large-language-model agents at inference time . Skill conditions increase task-mean pass rate by 26.7 to 36.0 percentage points for GPT-5.5 and by 18.0 to 26.0 .
Adaptive Artificial Time-Delay Control with Barrier Lyapunov Constraints for Euler-Lagrange Robots,"Saksham Gupta, Rishabh Dev Yadav, Sarthak Mishra, Amitabh Sharma, Sourish Ganguly, Wei Pan, Spandan Roy, Simone Baldi",2026-05-29 15:09:40+00:00,https://arxiv.org/pdf/2605.31405v1, This paper addresses the challenge of compensating for state-dependent uncertainties and enforcing time-varying state constraints in Euler-Lagrange systems . A novel adaptive control framework is developed that combines an artificial time-delay-based uncertainty estimation strategy with a barrier Lyapunov function .
